NH: New Hampshire, Lifetables (period 5x5), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.01918	0.01886	0.11	100000	1886	98315	7442244	74.42
1960-1964	1-4	0.00082	0.00327	1.49	98114	320	391651	7343929	74.85
1960-1964	5-9	0.00041	0.00204	2.32	97794	199	488434	6952277	71.09
1960-1964	10-14	0.00032	0.00159	2.77	97595	155	487627	6463843	66.23
1960-1964	15-19	0.00047	0.00236	2.66	97439	230	486658	5976216	61.33
1960-1964	20-24	0.00059	0.00293	2.43	97209	285	485313	5489559	56.47
1960-1964	25-29	0.00086	0.00429	2.46	96924	416	483566	5004246	51.63
1960-1964	30-34	0.00079	0.00396	2.51	96509	382	481595	4520680	46.84
1960-1964	35-39	0.00139	0.00691	2.61	96127	664	479050	4039085	42.02
1960-1964	40-44	0.00245	0.01217	2.77	95463	1161	474730	3560035	37.29
1960-1964	45-49	0.00398	0.01969	2.66	94302	1857	467161	3085305	32.72
1960-1964	50-54	0.00565	0.02789	2.62	92445	2578	456090	2618144	28.32
1960-1964	55-59	0.00854	0.04183	2.64	89867	3759	440446	2162053	24.06
1960-1964	60-64	0.01289	0.06260	2.68	86107	5391	418050	1721608	19.99
1960-1964	65-69	0.02244	0.10664	2.68	80717	8607	383615	1303558	16.15
1960-1964	70-74	0.03704	0.17007	2.6	72110	12264	331093	919943	12.76
1960-1964	75-79	0.05882	0.25740	2.58	59846	15404	261877	588850	9.84
1960-1964	80-84	0.09431	0.38182	2.51	44442	16969	179918	326973	7.36
1960-1964	85-89	0.15114	0.54120	2.38	27473	14868	98378	147055	5.35
1960-1964	90-94	0.23233	0.70310	2.19	12604	8862	38144	48677	3.86
1960-1964	95-99	0.33858	0.83402	1.96	3742	3121	9218	10533	2.81
1960-1964	100-104	0.46363	0.91711	1.7	621	570	1229	1315	2.12
1960-1964	105-109	0.59409	0.95998	1.47	51	49	83	86	1.67
1960-1964	110+	0.69671	1.00000	1.44	2	2	3	3	1.44
1965-1969	0	0.01749	0.01722	0.1	100000	1722	98454	7467295	74.67
1965-1969	1-4	0.00074	0.00294	1.63	98278	289	392428	7368841	74.98
1965-1969	5-9	0.00025	0.00126	2.15	97989	123	489596	6976413	71.20
1965-1969	10-14	0.00035	0.00175	2.64	97866	172	488925	6486817	66.28
1965-1969	15-19	0.00054	0.00272	2.5	97694	265	487808	5997892	61.39
1965-1969	20-24	0.00047	0.00234	2.27	97429	228	486523	5510085	56.55
1965-1969	25-29	0.00068	0.00341	2.62	97201	331	485215	5023562	51.68
1965-1969	30-34	0.00092	0.00461	2.41	96870	446	483190	4538346	46.85
1965-1969	35-39	0.00145	0.00721	2.81	96423	695	480597	4055156	42.06
1965-1969	40-44	0.00270	0.01342	2.79	95728	1284	475805	3574560	37.34
1965-1969	45-49	0.00388	0.01925	2.72	94444	1818	468068	3098755	32.81
1965-1969	50-54	0.00634	0.03123	2.64	92626	2893	456316	2630687	28.40
1965-1969	55-59	0.00837	0.04109	2.73	89733	3687	440284	2174371	24.23
1965-1969	60-64	0.01366	0.06614	2.59	86046	5691	416487	1734087	20.15
1965-1969	65-69	0.02168	0.10322	2.68	80355	8294	382562	1317600	16.40
1965-1969	70-74	0.03522	0.16256	2.64	72061	11714	332618	935037	12.98
1965-1969	75-79	0.05678	0.24973	2.59	60346	15070	265421	602420	9.98
1965-1969	80-84	0.09043	0.36964	2.53	45276	16736	185075	336999	7.44
1965-1969	85-89	0.15041	0.54025	2.39	28541	15419	102511	151924	5.32
1965-1969	90-94	0.23839	0.71384	2.19	13121	9367	39292	49413	3.77
1965-1969	95-99	0.35486	0.84944	1.93	3755	3190	8988	10121	2.70
1965-1969	100-104	0.49120	0.92969	1.66	565	526	1070	1133	2.00
1965-1969	105-109	0.62990	0.96762	1.42	40	38	61	63	1.58
1965-1969	110+	0.73579	1.00000	1.36	1	1	2	2	1.36
1970-1974	0	0.01384	0.01367	0.09	100000	1367	98758	7605612	76.06
1970-1974	1-4	0.00063	0.00253	1.47	98633	250	393900	7506854	76.11
1970-1974	5-9	0.00025	0.00127	2.74	98383	125	491635	7112954	72.30
1970-1974	10-14	0.00020	0.00100	2.64	98259	98	491060	6621319	67.39
1970-1974	15-19	0.00046	0.00232	2.81	98160	228	490303	6130259	62.45
1970-1974	20-24	0.00047	0.00234	2.89	97933	230	489178	5639956	57.59
1970-1974	25-29	0.00062	0.00312	2.54	97703	305	487765	5150778	52.72
1970-1974	30-34	0.00066	0.00327	2.84	97398	319	486304	4663013	47.88
1970-1974	35-39	0.00126	0.00627	2.73	97080	609	484018	4176709	43.02
1970-1974	40-44	0.00195	0.00970	2.9	96471	936	480394	3692691	38.28
1970-1974	45-49	0.00392	0.01941	2.66	95535	1855	473331	3212297	33.62
1970-1974	50-54	0.00522	0.02579	2.71	93680	2416	462858	2738967	29.24
1970-1974	55-59	0.00845	0.04144	2.63	91265	3782	447358	2276108	24.94
1970-1974	60-64	0.01301	0.06308	2.62	87483	5519	424256	1828750	20.90
1970-1974	65-69	0.01969	0.09414	2.66	81964	7716	391781	1404494	17.14
1970-1974	70-74	0.03182	0.14792	2.63	74248	10983	345165	1012713	13.64
1970-1974	75-79	0.05534	0.24374	2.56	63265	15420	278634	667548	10.55
1970-1974	80-84	0.07949	0.33259	2.55	47845	15913	200195	388914	8.13
1970-1974	85-89	0.13055	0.48879	2.43	31932	15608	119554	188719	5.91
1970-1974	90-94	0.20604	0.65820	2.26	16324	10745	52149	69165	4.24
1970-1974	95-99	0.30836	0.80440	2.03	5580	4488	14555	17016	3.05
1970-1974	100-104	0.43300	0.90204	1.77	1091	984	2274	2461	2.25
1970-1974	105-109	0.56722	0.95370	1.52	107	102	180	187	1.75
1970-1974	110+	0.67473	1.00000	1.48	5	5	7	7	1.48
