MS: Mississippi, Lifetables (period 5x10), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.03526	0.03424	0.15	100000	3424	97096	7151584	71.52
1960-1969	1-4	0.00149	0.00595	1.5	96576	574	384870	7054489	73.05
1960-1969	5-9	0.00054	0.00270	2.26	96002	259	479300	6669618	69.47
1960-1969	10-14	0.00041	0.00204	2.65	95743	196	478254	6190318	64.66
1960-1969	15-19	0.00082	0.00407	2.83	95547	389	476892	5712064	59.78
1960-1969	20-24	0.00106	0.00531	2.53	95159	505	474547	5235172	55.02
1960-1969	25-29	0.00135	0.00674	2.66	94653	638	471777	4760625	50.30
1960-1969	30-34	0.00192	0.00957	2.68	94016	900	467988	4288848	45.62
1960-1969	35-39	0.00265	0.01314	2.6	93116	1224	462639	3820860	41.03
1960-1969	40-44	0.00372	0.01842	2.63	91892	1693	455442	3358220	36.55
1960-1969	45-49	0.00512	0.02529	2.59	90199	2281	445490	2902778	32.18
1960-1969	50-54	0.00728	0.03580	2.63	87918	3147	432117	2457288	27.95
1960-1969	55-59	0.01012	0.04941	2.65	84771	4189	414014	2025171	23.89
1960-1969	60-64	0.01512	0.07304	2.66	80582	5886	389151	1611158	19.99
1960-1969	65-69	0.02373	0.11217	2.56	74697	8378	353060	1222007	16.36
1960-1969	70-74	0.03562	0.16417	2.62	66318	10887	305691	868947	13.10
1960-1969	75-79	0.05781	0.25328	2.56	55431	14040	242860	563256	10.16
1960-1969	80-84	0.09212	0.37488	2.52	41391	15517	168440	320396	7.74
1960-1969	85-89	0.14296	0.51690	2.32	25874	13374	93557	151956	5.87
1960-1969	90-94	0.18854	0.62060	2.25	12500	7757	41145	58399	4.67
1960-1969	95-99	0.25519	0.73361	2.1	4742	3479	13633	17254	3.64
1960-1969	100-104	0.33527	0.82684	1.94	1263	1045	3116	3621	2.87
1960-1969	105-109	0.42591	0.89430	1.76	219	196	459	505	2.31
1960-1969	110+	0.50143	1.00000	1.99	23	23	46	46	1.99
1970-1979	0	0.02141	0.02101	0.11	100000	2101	98136	7462438	74.62
1970-1979	1-4	0.00094	0.00375	1.55	97899	367	390696	7364303	75.22
1970-1979	5-9	0.00044	0.00217	2.19	97531	212	487060	6973607	71.50
1970-1979	10-14	0.00034	0.00168	2.72	97319	164	486223	6486547	66.65
1970-1979	15-19	0.00066	0.00330	2.71	97155	321	485044	6000325	61.76
1970-1979	20-24	0.00084	0.00417	2.45	96835	404	483146	5515281	56.96
1970-1979	25-29	0.00097	0.00483	2.55	96431	466	481018	5032135	52.18
1970-1979	30-34	0.00136	0.00678	2.72	95966	651	478345	4551117	47.42
1970-1979	35-39	0.00207	0.01028	2.66	95315	980	474281	4072772	42.73
1970-1979	40-44	0.00315	0.01561	2.69	94335	1473	468273	3598491	38.15
1970-1979	45-49	0.00440	0.02176	2.65	92862	2020	459555	3130218	33.71
1970-1979	50-54	0.00636	0.03130	2.61	90842	2844	447424	2670663	29.40
1970-1979	55-59	0.00872	0.04273	2.63	87998	3760	431063	2223238	25.26
1970-1979	60-64	0.01291	0.06267	2.65	84237	5279	408758	1792175	21.28
1970-1979	65-69	0.01904	0.09116	2.66	78959	7197	377922	1383416	17.52
1970-1979	70-74	0.03129	0.14571	2.64	71761	10456	334166	1005494	14.01
1970-1979	75-79	0.04903	0.21940	2.61	61305	13450	274333	671328	10.95
1970-1979	80-84	0.08041	0.33597	2.55	47855	16078	199934	396995	8.30
1970-1979	85-89	0.12978	0.48396	2.37	31777	15379	118497	197061	6.20
1970-1979	90-94	0.18026	0.60484	2.28	16398	9918	55021	78564	4.79
1970-1979	95-99	0.25380	0.73302	2.12	6480	4750	18715	23543	3.63
1970-1979	100-104	0.34416	0.83635	1.93	1730	1447	4204	4828	2.79
1970-1979	105-109	0.44719	0.90702	1.72	283	257	574	624	2.20
1970-1979	110+	0.53354	1.00000	1.87	26	26	49	49	1.87
1980-1989	0	0.01295	0.01280	0.09	100000	1280	98834	7680782	76.81
1980-1989	1-4	0.00061	0.00242	1.63	98720	239	394313	7581948	76.80
1980-1989	5-9	0.00030	0.00151	2.36	98481	149	492012	7187635	72.98
1980-1989	10-14	0.00026	0.00131	2.64	98332	129	491357	6695623	68.09
1980-1989	15-19	0.00058	0.00289	2.69	98204	284	490361	6204266	63.18
1980-1989	20-24	0.00071	0.00352	2.62	97920	345	488779	5713905	58.35
1980-1989	25-29	0.00083	0.00415	2.62	97575	405	486909	5225126	53.55
1980-1989	30-34	0.00111	0.00555	2.62	97170	539	484567	4738217	48.76
1980-1989	35-39	0.00153	0.00760	2.63	96630	735	481413	4253651	44.02
1980-1989	40-44	0.00225	0.01120	2.61	95896	1074	476910	3772237	39.34
1980-1989	45-49	0.00349	0.01731	2.63	94821	1641	470215	3295327	34.75
1980-1989	50-54	0.00551	0.02722	2.65	93180	2536	459944	2825112	30.32
1980-1989	55-59	0.00826	0.04052	2.62	90644	3673	444496	2365168	26.09
