PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
OR,b,1959,0,0.02517,0.02463,0.12,100000,2463,97831,7066604,70.67
OR,b,1959,1,0.00160,0.00160,0.5,97537,156,97459,6968773,71.45
OR,b,1959,2,0.00077,0.00077,0.5,97381,75,97344,6871314,70.56
OR,b,1959,3,0.00077,0.00077,0.5,97306,74,97269,6773970,69.62
OR,b,1959,4,0.00099,0.00099,0.5,97232,96,97183,6676702,68.67
OR,b,1959,5,0.00109,0.00109,0.5,97135,106,97082,6579518,67.74
OR,b,1959,6,0.00065,0.00065,0.5,97029,63,96998,6482436,66.81
OR,b,1959,7,0.00077,0.00077,0.5,96966,75,96929,6385438,65.85
OR,b,1959,8,0.00044,0.00044,0.5,96891,43,96870,6288509,64.90
OR,b,1959,9,0.00059,0.00059,0.5,96848,57,96820,6191640,63.93
OR,b,1959,10,0.00020,0.00020,0.5,96791,19,96782,6094820,62.97
OR,b,1959,11,0.00059,0.00059,0.5,96772,57,96744,5998038,61.98
OR,b,1959,12,0.00055,0.00054,0.5,96716,53,96689,5901294,61.02
OR,b,1959,13,0.00051,0.00051,0.5,96663,50,96638,5804605,60.05
OR,b,1959,14,0.00088,0.00088,0.5,96613,85,96571,5707967,59.08
OR,b,1959,15,0.00094,0.00094,0.5,96528,90,96483,5611396,58.13
OR,b,1959,16,0.00068,0.00068,0.5,96438,65,96405,5514913,57.19
OR,b,1959,17,0.00117,0.00116,0.5,96372,112,96316,5418508,56.22
OR,b,1959,18,0.00125,0.00125,0.5,96260,120,96200,5322192,55.29
OR,b,1959,19,0.00152,0.00152,0.5,96140,146,96067,5225992,54.36
OR,b,1959,20,0.00095,0.00095,0.5,95994,91,95948,5129924,53.44
OR,b,1959,21,0.00179,0.00178,0.5,95903,171,95817,5033976,52.49
OR,b,1959,22,0.00169,0.00168,0.5,95732,161,95651,4938159,51.58
OR,b,1959,23,0.00098,0.00098,0.5,95570,93,95524,4842508,50.67
OR,b,1959,24,0.00159,0.00158,0.5,95477,151,95401,4746985,49.72
OR,b,1959,25,0.00131,0.00131,0.5,95326,124,95263,4651583,48.80
OR,b,1959,26,0.00151,0.00151,0.5,95201,144,95129,4556320,47.86
OR,b,1959,27,0.00140,0.00140,0.5,95058,133,94991,4461190,46.93
OR,b,1959,28,0.00153,0.00153,0.5,94925,145,94852,4366199,46.00
OR,b,1959,29,0.00131,0.00131,0.5,94780,124,94718,4271347,45.07
OR,b,1959,30,0.00159,0.00159,0.5,94656,150,94581,4176630,44.12
OR,b,1959,31,0.00154,0.00154,0.5,94506,145,94433,4082049,43.19
OR,b,1959,32,0.00163,0.00163,0.5,94360,154,94283,3987616,42.26
OR,b,1959,33,0.00137,0.00136,0.5,94206,129,94142,3893333,41.33
OR,b,1959,34,0.00189,0.00189,0.5,94078,178,93989,3799191,40.38
OR,b,1959,35,0.00194,0.00194,0.5,93900,182,93809,3705202,39.46
OR,b,1959,36,0.00192,0.00192,0.5,93718,180,93628,3611393,38.53
OR,b,1959,37,0.00206,0.00206,0.5,93538,193,93441,3517765,37.61
OR,b,1959,38,0.00207,0.00206,0.5,93345,193,93249,3424324,36.68
OR,b,1959,39,0.00270,0.00269,0.5,93152,251,93027,3331075,35.76
OR,b,1959,40,0.00253,0.00252,0.5,92902,234,92784,3238048,34.85
OR,b,1959,41,0.00308,0.00307,0.5,92667,285,92525,3145263,33.94
OR,b,1959,42,0.00417,0.00416,0.5,92382,384,92190,3052739,33.04
OR,b,1959,43,0.00372,0.00372,0.5,91998,342,91827,2960548,32.18
OR,b,1959,44,0.00378,0.00377,0.5,91656,346,91483,2868721,31.30
OR,b,1959,45,0.00479,0.00478,0.5,91311,436,91092,2777238,30.42
OR,b,1959,46,0.00538,0.00536,0.5,90874,487,90631,2686145,29.56
OR,b,1959,47,0.00491,0.00490,0.5,90387,443,90165,2595515,28.72
OR,b,1959,48,0.00507,0.00505,0.5,89944,454,89717,2505350,27.85
OR,b,1959,49,0.00704,0.00702,0.5,89489,628,89175,2415633,26.99
OR,b,1959,50,0.00587,0.00586,0.5,88861,520,88601,2326458,26.18
OR,b,1959,51,0.00721,0.00719,0.5,88341,635,88024,2237856,25.33
OR,b,1959,52,0.00752,0.00750,0.5,87706,657,87378,2149833,24.51
OR,b,1959,53,0.00873,0.00869,0.5,87049,757,86670,2062455,23.69
OR,b,1959,54,0.00878,0.00875,0.5,86292,755,85915,1975785,22.90
OR,b,1959,55,0.01064,0.01058,0.5,85537,905,85085,1889870,22.09
OR,b,1959,56,0.01187,0.01180,0.5,84632,998,84133,1804785,21.32
OR,b,1959,57,0.01187,0.01180,0.5,83634,987,83141,1720652,20.57
OR,b,1959,58,0.01547,0.01535,0.5,82647,1269,82013,1637511,19.81
OR,b,1959,59,0.01476,0.01465,0.5,81378,1193,80782,1555498,19.11
OR,b,1959,60,0.01666,0.01652,0.5,80186,1325,79523,1474716,18.39
OR,b,1959,61,0.01840,0.01823,0.5,78861,1438,78142,1395193,17.69
OR,b,1959,62,0.01917,0.01899,0.5,77423,1470,76688,1317051,17.01
OR,b,1959,63,0.02042,0.02021,0.5,75953,1535,75186,1240362,16.33
OR,b,1959,64,0.02085,0.02064,0.5,74418,1536,73650,1165177,15.66
OR,b,1959,65,0.02345,0.02318,0.5,72882,1689,72038,1091527,14.98
OR,b,1959,66,0.02652,0.02618,0.5,71193,1864,70261,1019489,14.32
OR,b,1959,67,0.02897,0.02855,0.5,69330,1980,68340,949228,13.69
OR,b,1959,68,0.02999,0.02955,0.5,67350,1990,66355,880888,13.08
OR,b,1959,69,0.03087,0.03040,0.5,65360,1987,64366,814533,12.46
OR,b,1959,70,0.03390,0.03333,0.5,63373,2112,62317,750167,11.84
OR,b,1959,71,0.03502,0.03441,0.5,61261,2108,60207,687850,11.23
OR,b,1959,72,0.04550,0.04449,0.5,59152,2632,57837,627643,10.61
OR,b,1959,73,0.04494,0.04395,0.5,56521,2484,55279,569807,10.08
OR,b,1959,74,0.05168,0.05038,0.5,54037,2722,52675,514528,9.52
OR,b,1959,75,0.05819,0.05655,0.5,51314,2902,49863,461853,9.00
OR,b,1959,76,0.05992,0.05818,0.5,48413,2817,47004,411989,8.51
OR,b,1959,77,0.07013,0.06776,0.5,45596,3089,44051,364985,8.00
OR,b,1959,78,0.07725,0.07438,0.5,42507,3161,40926,320934,7.55
OR,b,1959,79,0.08451,0.08108,0.5,39345,3190,37750,280008,7.12
