PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
ME,b,1960-1969,0,0.02380,0.02331,0.11,100000,2331,97937,7048975,70.49
ME,b,1960-1969,1,0.00135,0.00135,0.5,97669,132,97603,6951038,71.17
ME,b,1960-1969,2,0.00104,0.00104,0.5,97537,101,97487,6853434,70.26
ME,b,1960-1969,3,0.00067,0.00067,0.5,97436,65,97404,6755947,69.34
ME,b,1960-1969,4,0.00070,0.00070,0.5,97371,68,97337,6658544,68.38
ME,b,1960-1969,5,0.00054,0.00054,0.5,97303,53,97277,6561207,67.43
ME,b,1960-1969,6,0.00056,0.00056,0.5,97250,55,97223,6463930,66.47
ME,b,1960-1969,7,0.00044,0.00044,0.5,97195,43,97174,6366708,65.50
ME,b,1960-1969,8,0.00041,0.00041,0.5,97152,40,97132,6269534,64.53
ME,b,1960-1969,9,0.00030,0.00030,0.5,97112,29,97098,6172401,63.56
ME,b,1960-1969,10,0.00034,0.00034,0.5,97084,33,97067,6075303,62.58
ME,b,1960-1969,11,0.00040,0.00040,0.5,97051,39,97031,5978236,61.60
ME,b,1960-1969,12,0.00042,0.00042,0.5,97012,41,96992,5881205,60.62
ME,b,1960-1969,13,0.00039,0.00039,0.5,96971,38,96952,5784213,59.65
ME,b,1960-1969,14,0.00055,0.00055,0.5,96933,53,96907,5687261,58.67
ME,b,1960-1969,15,0.00071,0.00071,0.5,96880,69,96846,5590354,57.70
ME,b,1960-1969,16,0.00095,0.00095,0.5,96811,92,96765,5493508,56.74
ME,b,1960-1969,17,0.00101,0.00101,0.5,96720,98,96671,5396743,55.80
ME,b,1960-1969,18,0.00125,0.00125,0.5,96622,121,96562,5300072,54.85
ME,b,1960-1969,19,0.00131,0.00131,0.5,96501,126,96438,5203511,53.92
ME,b,1960-1969,20,0.00098,0.00098,0.5,96375,95,96327,5107073,52.99
ME,b,1960-1969,21,0.00133,0.00133,0.5,96280,128,96216,5010745,52.04
ME,b,1960-1969,22,0.00124,0.00124,0.5,96151,119,96092,4914530,51.11
ME,b,1960-1969,23,0.00115,0.00115,0.5,96032,111,95977,4818438,50.18
ME,b,1960-1969,24,0.00121,0.00121,0.5,95922,116,95864,4722461,49.23
ME,b,1960-1969,25,0.00105,0.00105,0.5,95805,100,95755,4626597,48.29
ME,b,1960-1969,26,0.00113,0.00113,0.5,95705,108,95651,4530842,47.34
ME,b,1960-1969,27,0.00118,0.00118,0.5,95597,113,95540,4435191,46.39
ME,b,1960-1969,28,0.00110,0.00110,0.5,95484,105,95432,4339650,45.45
ME,b,1960-1969,29,0.00123,0.00123,0.5,95379,117,95321,4244219,44.50
ME,b,1960-1969,30,0.00117,0.00117,0.5,95262,112,95206,4148898,43.55
ME,b,1960-1969,31,0.00132,0.00132,0.5,95150,125,95088,4053692,42.60
ME,b,1960-1969,32,0.00161,0.00161,0.5,95025,153,94948,3958604,41.66
ME,b,1960-1969,33,0.00159,0.00159,0.5,94872,151,94796,3863656,40.72
ME,b,1960-1969,34,0.00156,0.00156,0.5,94721,147,94647,3768859,39.79
ME,b,1960-1969,35,0.00183,0.00183,0.5,94573,173,94487,3674212,38.85
ME,b,1960-1969,36,0.00196,0.00196,0.5,94401,185,94308,3579725,37.92
ME,b,1960-1969,37,0.00201,0.00201,0.5,94216,189,94121,3485417,36.99
ME,b,1960-1969,38,0.00258,0.00257,0.5,94026,242,93905,3391296,36.07
ME,b,1960-1969,39,0.00213,0.00213,0.5,93784,200,93684,3297391,35.16
ME,b,1960-1969,40,0.00254,0.00254,0.5,93585,238,93466,3203706,34.23
ME,b,1960-1969,41,0.00279,0.00278,0.5,93347,260,93217,3110241,33.32
ME,b,1960-1969,42,0.00339,0.00338,0.5,93087,315,92930,3017024,32.41
ME,b,1960-1969,43,0.00351,0.00350,0.5,92772,325,92610,2924094,31.52
ME,b,1960-1969,44,0.00371,0.00371,0.5,92447,343,92276,2831484,30.63
ME,b,1960-1969,45,0.00391,0.00390,0.5,92105,360,91925,2739208,29.74
ME,b,1960-1969,46,0.00474,0.00473,0.5,91745,434,91528,2647284,28.85
ME,b,1960-1969,47,0.00566,0.00564,0.5,91311,515,91053,2555756,27.99
ME,b,1960-1969,48,0.00561,0.00559,0.5,90796,508,90542,2464702,27.15
ME,b,1960-1969,49,0.00615,0.00613,0.5,90288,554,90011,2374160,26.30
ME,b,1960-1969,50,0.00718,0.00716,0.5,89734,642,89413,2284149,25.45
ME,b,1960-1969,51,0.00781,0.00778,0.5,89092,693,88745,2194736,24.63
ME,b,1960-1969,52,0.00830,0.00827,0.5,88399,731,88033,2105991,23.82
ME,b,1960-1969,53,0.00911,0.00907,0.5,87668,795,87270,2017957,23.02
ME,b,1960-1969,54,0.01060,0.01054,0.5,86873,916,86415,1930687,22.22
ME,b,1960-1969,55,0.01073,0.01067,0.5,85957,917,85498,1844272,21.46
ME,b,1960-1969,56,0.01233,0.01225,0.5,85040,1042,84519,1758774,20.68
ME,b,1960-1969,57,0.01342,0.01333,0.5,83998,1120,83438,1674255,19.93
ME,b,1960-1969,58,0.01541,0.01529,0.5,82878,1268,82244,1590817,19.19
ME,b,1960-1969,59,0.01556,0.01544,0.5,81610,1260,80981,1508573,18.49
ME,b,1960-1969,60,0.01681,0.01667,0.5,80351,1339,79681,1427592,17.77
ME,b,1960-1969,61,0.01879,0.01861,0.5,79011,1471,78276,1347911,17.06
ME,b,1960-1969,62,0.02156,0.02133,0.5,77541,1654,76714,1269635,16.37
ME,b,1960-1969,63,0.02231,0.02207,0.5,75887,1675,75050,1192921,15.72
ME,b,1960-1969,64,0.02396,0.02368,0.5,74212,1757,73334,1117871,15.06
ME,b,1960-1969,65,0.02671,0.02636,0.5,72455,1910,71500,1044538,14.42
ME,b,1960-1969,66,0.02939,0.02897,0.5,70545,2043,69524,973037,13.79
ME,b,1960-1969,67,0.03260,0.03208,0.5,68502,2198,67403,903514,13.19
ME,b,1960-1969,68,0.03515,0.03455,0.5,66304,2291,65159,836111,12.61
ME,b,1960-1969,69,0.03613,0.03549,0.5,64014,2272,62878,770951,12.04
ME,b,1960-1969,70,0.03980,0.03903,0.5,61742,2409,60537,708073,11.47
ME,b,1960-1969,71,0.04371,0.04277,0.5,59333,2538,58064,647536,10.91
ME,b,1960-1969,72,0.04837,0.04723,0.5,56795,2682,55453,589473,10.38
ME,b,1960-1969,73,0.05231,0.05097,0.5,54112,2758,52733,534019,9.87
ME,b,1960-1969,74,0.05631,0.05477,0.5,51354,2812,49948,481286,9.37
ME,b,1960-1969,75,0.06407,0.06208,0.5,48541,3014,47035,431338,8.89
ME,b,1960-1969,76,0.06613,0.06401,0.5,45528,2914,44071,384304,8.44
ME,b,1960-1969,77,0.07248,0.06994,0.5,42613,2980,41123,340233,7.98
ME,b,1960-1969,78,0.07836,0.07540,0.5,39633,2988,38139,299110,7.55
ME,b,1960-1969,79,0.08700,0.08337,0.5,36644,3055,35117,260971,7.12
ME,b,1960-1969,80,0.09016,0.08627,0.5,33589,2898,32141,225854,6.72
ME,b,1960-1969,81,0.09807,0.09348,0.5,30692,2869,29257,193714,6.31
ME,b,1960-1969,82,0.11099,0.10516,0.5,27823,2926,26360,164457,5.91
ME,b,1960-1969,83,0.12243,0.11537,0.5,24897,2872,23461,138097,5.55
ME,b,1960-1969,84,0.13496,0.12643,0.5,22024,2785,20632,114636,5.20
ME,b,1960-1969,85,0.14870,0.13841,0.5,19240,2663,17908,94004,4.89
ME,b,1960-1969,86,0.16151,0.14944,0.5,16577,2477,15338,76096,4.59
ME,b,1960-1969,87,0.18094,0.16593,0.5,14100,2340,12930,60758,4.31
ME,b,1960-1969,88,0.18975,0.17331,0.5,11760,2038,10741,47828,4.07
ME,b,1960-1969,89,0.20680,0.18742,0.5,9722,1822,8811,37087,3.81
ME,b,1960-1969,90,0.22501,0.20225,0.5,7900,1598,7101,28276,3.58
ME,b,1960-1969,91,0.24437,0.21776,0.5,6302,1372,5616,21175,3.36
ME,b,1960-1969,92,0.26488,0.23390,0.5,4930,1153,4353,15559,3.16
ME,b,1960-1969,93,0.28651,0.25061,0.5,3777,946,3303,11206,2.97
ME,b,1960-1969,94,0.30922,0.26782,0.5,2830,758,2451,7902,2.79
ME,b,1960-1969,95,0.33295,0.28544,0.5,2072,591,1776,5451,2.63
ME,b,1960-1969,96,0.35763,0.30338,0.5,1481,449,1256,3675,2.48
ME,b,1960-1969,97,0.38313,0.32154,0.5,1032,332,866,2419,2.34
ME,b,1960-1969,98,0.40936,0.33981,0.5,700,238,581,1553,2.22
ME,b,1960-1969,99,0.43618,0.35808,0.5,462,165,379,972,2.10
ME,b,1960-1969,100,0.46343,0.37625,0.5,297,112,241,593,2.00
ME,b,1960-1969,101,0.49095,0.39419,0.5,185,73,149,352,1.90
