PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
VA,f,1960-1969,0,0.02378,0.02330,0.12,100000,2330,97949,7310903,73.11
VA,f,1960-1969,1,0.00148,0.00148,0.5,97670,144,97598,7212954,73.85
VA,f,1960-1969,2,0.00088,0.00088,0.5,97526,86,97483,7115356,72.96
VA,f,1960-1969,3,0.00072,0.00072,0.5,97440,70,97405,7017873,72.02
VA,f,1960-1969,4,0.00057,0.00057,0.5,97370,55,97342,6920468,71.07
VA,f,1960-1969,5,0.00046,0.00046,0.5,97315,45,97293,6823125,70.11
VA,f,1960-1969,6,0.00040,0.00040,0.5,97270,39,97251,6725833,69.15
VA,f,1960-1969,7,0.00038,0.00038,0.5,97231,37,97212,6628582,68.17
VA,f,1960-1969,8,0.00033,0.00033,0.5,97194,32,97177,6531370,67.20
VA,f,1960-1969,9,0.00027,0.00027,0.5,97161,27,97148,6434192,66.22
VA,f,1960-1969,10,0.00032,0.00032,0.5,97135,31,97119,6337044,65.24
VA,f,1960-1969,11,0.00028,0.00028,0.5,97104,27,97090,6239925,64.26
VA,f,1960-1969,12,0.00034,0.00034,0.5,97077,33,97060,6142835,63.28
VA,f,1960-1969,13,0.00026,0.00026,0.5,97044,25,97031,6045775,62.30
VA,f,1960-1969,14,0.00035,0.00035,0.5,97018,34,97001,5948744,61.32
VA,f,1960-1969,15,0.00045,0.00045,0.5,96984,44,96963,5851742,60.34
VA,f,1960-1969,16,0.00050,0.00050,0.5,96941,49,96916,5754780,59.36
VA,f,1960-1969,17,0.00054,0.00054,0.5,96892,52,96866,5657863,58.39
VA,f,1960-1969,18,0.00055,0.00055,0.5,96840,54,96813,5560997,57.42
VA,f,1960-1969,19,0.00060,0.00060,0.5,96787,58,96757,5464184,56.46
VA,f,1960-1969,20,0.00060,0.00060,0.5,96728,58,96699,5367426,55.49
VA,f,1960-1969,21,0.00068,0.00068,0.5,96670,66,96637,5270727,54.52
VA,f,1960-1969,22,0.00070,0.00070,0.5,96604,67,96570,5174090,53.56
VA,f,1960-1969,23,0.00076,0.00076,0.5,96537,73,96500,5077520,52.60
VA,f,1960-1969,24,0.00070,0.00070,0.5,96463,68,96429,4981020,51.64
VA,f,1960-1969,25,0.00081,0.00081,0.5,96396,78,96356,4884591,50.67
VA,f,1960-1969,26,0.00078,0.00078,0.5,96317,75,96280,4788234,49.71
VA,f,1960-1969,27,0.00084,0.00084,0.5,96243,81,96202,4691954,48.75
VA,f,1960-1969,28,0.00087,0.00087,0.5,96161,83,96120,4595752,47.79
VA,f,1960-1969,29,0.00101,0.00101,0.5,96078,97,96030,4499632,46.83
VA,f,1960-1969,30,0.00117,0.00117,0.5,95981,112,95925,4403603,45.88
VA,f,1960-1969,31,0.00116,0.00116,0.5,95869,111,95814,4307677,44.93
VA,f,1960-1969,32,0.00120,0.00120,0.5,95758,115,95701,4211863,43.98
VA,f,1960-1969,33,0.00142,0.00142,0.5,95644,136,95576,4116162,43.04
VA,f,1960-1969,34,0.00158,0.00158,0.5,95508,151,95432,4020587,42.10
VA,f,1960-1969,35,0.00170,0.00169,0.5,95357,162,95276,3925154,41.16
VA,f,1960-1969,36,0.00180,0.00180,0.5,95195,172,95109,3829878,40.23
VA,f,1960-1969,37,0.00188,0.00188,0.5,95024,179,94934,3734769,39.30
VA,f,1960-1969,38,0.00206,0.00206,0.5,94845,195,94748,3639834,38.38
VA,f,1960-1969,39,0.00237,0.00237,0.5,94650,224,94538,3545087,37.45
VA,f,1960-1969,40,0.00255,0.00255,0.5,94426,241,94306,3450549,36.54
VA,f,1960-1969,41,0.00271,0.00271,0.5,94185,255,94058,3356243,35.63
VA,f,1960-1969,42,0.00308,0.00308,0.5,93930,289,93786,3262185,34.73
VA,f,1960-1969,43,0.00342,0.00341,0.5,93641,320,93481,3168399,33.84
VA,f,1960-1969,44,0.00348,0.00347,0.5,93321,324,93159,3074918,32.95
VA,f,1960-1969,45,0.00372,0.00371,0.5,92997,345,92825,2981759,32.06
VA,f,1960-1969,46,0.00408,0.00407,0.5,92652,377,92464,2888934,31.18
VA,f,1960-1969,47,0.00453,0.00451,0.5,92275,417,92067,2796470,30.31
VA,f,1960-1969,48,0.00489,0.00488,0.5,91858,449,91634,2704404,29.44
VA,f,1960-1969,49,0.00538,0.00537,0.5,91410,491,91165,2612769,28.58
VA,f,1960-1969,50,0.00614,0.00612,0.5,90919,557,90641,2521605,27.73
VA,f,1960-1969,51,0.00604,0.00603,0.5,90363,544,90090,2430964,26.90
VA,f,1960-1969,52,0.00723,0.00721,0.5,89818,647,89494,2340874,26.06
VA,f,1960-1969,53,0.00783,0.00780,0.5,89171,695,88823,2251379,25.25
VA,f,1960-1969,54,0.00781,0.00778,0.5,88476,689,88131,2162556,24.44
VA,f,1960-1969,55,0.00841,0.00837,0.5,87787,735,87419,2074425,23.63
VA,f,1960-1969,56,0.00933,0.00929,0.5,87052,809,86648,1987005,22.83
VA,f,1960-1969,57,0.01001,0.00996,0.5,86243,859,85814,1900358,22.03
VA,f,1960-1969,58,0.01105,0.01098,0.5,85384,938,84915,1814544,21.25
VA,f,1960-1969,59,0.01107,0.01101,0.5,84446,930,83981,1729629,20.48
VA,f,1960-1969,60,0.01376,0.01367,0.5,83516,1141,82945,1645648,19.70
VA,f,1960-1969,61,0.01357,0.01348,0.5,82375,1110,81819,1562703,18.97
VA,f,1960-1969,62,0.01563,0.01551,0.5,81264,1260,80634,1480883,18.22
VA,f,1960-1969,63,0.01642,0.01629,0.5,80004,1303,79353,1400249,17.50
VA,f,1960-1969,64,0.01774,0.01758,0.5,78701,1384,78009,1320897,16.78
VA,f,1960-1969,65,0.02125,0.02103,0.5,77317,1626,76504,1242887,16.08
VA,f,1960-1969,66,0.02129,0.02106,0.5,75691,1594,74894,1166383,15.41
VA,f,1960-1969,67,0.02407,0.02378,0.5,74097,1762,73216,1091489,14.73
VA,f,1960-1969,68,0.02560,0.02528,0.5,72335,1828,71421,1018273,14.08
VA,f,1960-1969,69,0.02676,0.02640,0.5,70507,1862,69576,946852,13.43
