AR: Arkansas, Lifetables (period 5x10), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02283	0.02238	0.12	100000	2238	98024	7418790	74.19
1960-1969	1-4	0.00123	0.00489	1.59	97762	478	389896	7320766	74.88
1960-1969	5-9	0.00049	0.00243	2.32	97284	236	485785	6930869	71.24
1960-1969	10-14	0.00036	0.00181	2.6	97048	175	484818	6445084	66.41
1960-1969	15-19	0.00074	0.00370	2.66	96872	358	483522	5960266	61.53
1960-1969	20-24	0.00083	0.00415	2.49	96514	401	481565	5476745	56.75
1960-1969	25-29	0.00088	0.00439	2.57	96113	422	479541	4995179	51.97
1960-1969	30-34	0.00138	0.00689	2.55	95691	659	476841	4515639	47.19
1960-1969	35-39	0.00196	0.00978	2.64	95032	929	472969	4038798	42.50
1960-1969	40-44	0.00279	0.01388	2.69	94103	1306	467496	3565829	37.89
1960-1969	45-49	0.00390	0.01934	2.65	92797	1795	459763	3098333	33.39
1960-1969	50-54	0.00576	0.02840	2.68	91002	2584	449005	2638570	28.99
1960-1969	55-59	0.00829	0.04065	2.6	88418	3594	433475	2189565	24.76
1960-1969	60-64	0.01302	0.06317	2.66	84824	5358	411581	1756091	20.70
1960-1969	65-69	0.01992	0.09511	2.62	79465	7558	379339	1344509	16.92
1960-1969	70-74	0.03159	0.14691	2.62	71907	10564	334404	965171	13.42
1960-1969	75-79	0.05221	0.23191	2.59	61343	14226	272458	630767	10.28
1960-1969	80-84	0.08996	0.36878	2.56	47117	17376	193159	358308	7.60
1960-1969	85-89	0.14587	0.52689	2.37	29742	15670	107431	165149	5.55
1960-1969	90-94	0.21636	0.67561	2.22	14071	9507	43939	57718	4.10
1960-1969	95-99	0.31303	0.80816	2.01	4565	3689	11784	13779	3.02
1960-1969	100-104	0.42870	0.89868	1.77	876	787	1836	1995	2.28
1960-1969	105-109	0.55305	0.94928	1.54	89	84	152	159	1.79
1960-1969	110+	0.65343	1.00000	1.53	4	4	7	7	1.53
1970-1979	0	0.01566	0.01545	0.1	100000	1545	98605	7631045	76.31
1970-1979	1-4	0.00074	0.00295	1.68	98455	290	393149	7532440	76.51
1970-1979	5-9	0.00037	0.00187	2.3	98165	183	490331	7139291	72.73
1970-1979	10-14	0.00034	0.00167	2.54	97982	164	489506	6648960	67.86
1970-1979	15-19	0.00060	0.00302	2.78	97818	295	488435	6159454	62.97
1970-1979	20-24	0.00072	0.00359	2.58	97522	350	486763	5671019	58.15
1970-1979	25-29	0.00081	0.00403	2.56	97172	392	484903	5184256	53.35
1970-1979	30-34	0.00098	0.00487	2.58	96780	471	482761	4699352	48.56
1970-1979	35-39	0.00163	0.00810	2.65	96309	780	479709	4216591	43.78
1970-1979	40-44	0.00230	0.01144	2.74	95529	1093	475177	3736882	39.12
1970-1979	45-49	0.00369	0.01830	2.67	94436	1728	468148	3261705	34.54
1970-1979	50-54	0.00536	0.02649	2.66	92708	2456	457788	2793557	30.13
1970-1979	55-59	0.00757	0.03717	2.64	90252	3355	443358	2335769	25.88
1970-1979	60-64	0.01124	0.05474	2.65	86897	4757	423308	1892411	21.78
1970-1979	65-69	0.01716	0.08248	2.64	82141	6775	394713	1469103	17.89
1970-1979	70-74	0.02810	0.13180	2.65	75366	9933	353445	1074390	14.26
1970-1979	75-79	0.04538	0.20484	2.63	65433	13403	295356	720945	11.02
1970-1979	80-84	0.08011	0.33465	2.54	52030	17412	217354	425588	8.18
1970-1979	85-89	0.12999	0.48617	2.41	34618	16830	129471	208235	6.02
1970-1979	90-94	0.19630	0.63872	2.27	17788	11361	57876	78763	4.43
1970-1979	95-99	0.28724	0.77905	2.06	6426	5006	17429	20887	3.25
1970-1979	100-104	0.39866	0.88029	1.83	1420	1250	3135	3458	2.44
1970-1979	105-109	0.52178	0.93960	1.6	170	160	306	323	1.90
1970-1979	110+	0.62289	1.00000	1.61	10	10	16	16	1.61
1980-1989	0	0.00998	0.00989	0.08	100000	989	99091	7796714	77.97
1980-1989	1-4	0.00056	0.00224	1.69	99011	222	395531	7697623	77.75
