PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
MI,f,1960-1969,0,0.01993,0.01959,0.11,100000,1959,98255,7385583,73.86
MI,f,1960-1969,1,0.00120,0.00120,0.5,98041,118,97983,7287328,74.33
MI,f,1960-1969,2,0.00069,0.00069,0.5,97924,68,97890,7189346,73.42
MI,f,1960-1969,3,0.00055,0.00055,0.5,97856,53,97829,7091456,72.47
MI,f,1960-1969,4,0.00047,0.00047,0.5,97802,46,97779,6993627,71.51
MI,f,1960-1969,5,0.00042,0.00042,0.5,97756,41,97735,6895848,70.54
MI,f,1960-1969,6,0.00040,0.00040,0.5,97715,39,97695,6798113,69.57
MI,f,1960-1969,7,0.00035,0.00035,0.5,97675,34,97658,6700418,68.60
MI,f,1960-1969,8,0.00029,0.00029,0.5,97641,28,97627,6602759,67.62
MI,f,1960-1969,9,0.00027,0.00027,0.5,97612,27,97599,6505133,66.64
MI,f,1960-1969,10,0.00026,0.00026,0.5,97586,26,97573,6407533,65.66
MI,f,1960-1969,11,0.00025,0.00025,0.5,97560,25,97548,6309960,64.68
MI,f,1960-1969,12,0.00029,0.00029,0.5,97535,28,97521,6212413,63.69
MI,f,1960-1969,13,0.00033,0.00033,0.5,97507,32,97491,6114891,62.71
MI,f,1960-1969,14,0.00035,0.00035,0.5,97475,34,97458,6017400,61.73
MI,f,1960-1969,15,0.00040,0.00040,0.5,97441,39,97422,5919942,60.75
MI,f,1960-1969,16,0.00050,0.00050,0.5,97402,49,97378,5822521,59.78
MI,f,1960-1969,17,0.00056,0.00056,0.5,97353,55,97326,5725143,58.81
MI,f,1960-1969,18,0.00061,0.00061,0.5,97299,59,97269,5627817,57.84
MI,f,1960-1969,19,0.00062,0.00062,0.5,97240,60,97210,5530547,56.88
MI,f,1960-1969,20,0.00064,0.00064,0.5,97180,62,97149,5433337,55.91
MI,f,1960-1969,21,0.00069,0.00069,0.5,97117,67,97084,5336189,54.95
MI,f,1960-1969,22,0.00062,0.00062,0.5,97050,60,97021,5239105,53.98
MI,f,1960-1969,23,0.00067,0.00067,0.5,96991,65,96958,5142084,53.02
MI,f,1960-1969,24,0.00075,0.00075,0.5,96925,73,96889,5045126,52.05
MI,f,1960-1969,25,0.00074,0.00074,0.5,96852,71,96817,4948237,51.09
MI,f,1960-1969,26,0.00080,0.00080,0.5,96781,78,96742,4851421,50.13
MI,f,1960-1969,27,0.00078,0.00078,0.5,96703,76,96665,4754679,49.17
MI,f,1960-1969,28,0.00084,0.00084,0.5,96628,81,96587,4658013,48.21
MI,f,1960-1969,29,0.00089,0.00089,0.5,96546,86,96503,4561426,47.25
MI,f,1960-1969,30,0.00094,0.00094,0.5,96460,91,96415,4464923,46.29
MI,f,1960-1969,31,0.00106,0.00106,0.5,96370,102,96319,4368508,45.33
MI,f,1960-1969,32,0.00111,0.00111,0.5,96268,107,96214,4272189,44.38
MI,f,1960-1969,33,0.00129,0.00129,0.5,96161,124,96099,4175975,43.43
MI,f,1960-1969,34,0.00125,0.00125,0.5,96037,120,95977,4079875,42.48
MI,f,1960-1969,35,0.00148,0.00148,0.5,95917,142,95846,3983898,41.53
MI,f,1960-1969,36,0.00148,0.00148,0.5,95775,142,95704,3888052,40.60
MI,f,1960-1969,37,0.00164,0.00164,0.5,95633,157,95555,3792348,39.66
MI,f,1960-1969,38,0.00197,0.00197,0.5,95476,188,95382,3696793,38.72
MI,f,1960-1969,39,0.00218,0.00218,0.5,95288,207,95184,3601411,37.80
MI,f,1960-1969,40,0.00223,0.00223,0.5,95080,212,94974,3506227,36.88
MI,f,1960-1969,41,0.00248,0.00248,0.5,94868,235,94751,3411253,35.96
MI,f,1960-1969,42,0.00268,0.00268,0.5,94633,253,94507,3316502,35.05
MI,f,1960-1969,43,0.00305,0.00304,0.5,94380,287,94236,3221995,34.14
MI,f,1960-1969,44,0.00313,0.00312,0.5,94093,294,93946,3127759,33.24
MI,f,1960-1969,45,0.00348,0.00347,0.5,93799,326,93636,3033813,32.34
MI,f,1960-1969,46,0.00373,0.00372,0.5,93473,348,93299,2940177,31.45
MI,f,1960-1969,47,0.00433,0.00432,0.5,93125,402,92924,2846878,30.57
MI,f,1960-1969,48,0.00455,0.00453,0.5,92723,420,92512,2753954,29.70
MI,f,1960-1969,49,0.00493,0.00492,0.5,92302,454,92075,2661442,28.83
MI,f,1960-1969,50,0.00518,0.00517,0.5,91848,474,91611,2569367,27.97
MI,f,1960-1969,51,0.00576,0.00574,0.5,91374,525,91112,2477755,27.12
MI,f,1960-1969,52,0.00643,0.00641,0.5,90849,582,90558,2386644,26.27
MI,f,1960-1969,53,0.00684,0.00682,0.5,90267,615,89959,2296085,25.44
MI,f,1960-1969,54,0.00752,0.00749,0.5,89652,672,89316,2206126,24.61
MI,f,1960-1969,55,0.00780,0.00777,0.5,88980,691,88634,2116810,23.79
MI,f,1960-1969,56,0.00839,0.00835,0.5,88288,738,87919,2028176,22.97
MI,f,1960-1969,57,0.00951,0.00947,0.5,87551,829,87136,1940257,22.16
MI,f,1960-1969,58,0.01021,0.01016,0.5,86722,881,86281,1853121,21.37
MI,f,1960-1969,59,0.01096,0.01090,0.5,85841,936,85373,1766840,20.58
MI,f,1960-1969,60,0.01177,0.01170,0.5,84905,993,84408,1681467,19.80
MI,f,1960-1969,61,0.01278,0.01270,0.5,83912,1065,83379,1597058,19.03
MI,f,1960-1969,62,0.01444,0.01434,0.5,82846,1188,82252,1513679,18.27
MI,f,1960-1969,63,0.01586,0.01574,0.5,81658,1285,81016,1431427,17.53
MI,f,1960-1969,64,0.01686,0.01672,0.5,80373,1344,79702,1350411,16.80
MI,f,1960-1969,65,0.01904,0.01886,0.5,79030,1490,78284,1270709,16.08
MI,f,1960-1969,66,0.02032,0.02012,0.5,77539,1560,76759,1192425,15.38
MI,f,1960-1969,67,0.02278,0.02252,0.5,75979,1711,75124,1115666,14.68
MI,f,1960-1969,68,0.02494,0.02463,0.5,74268,1829,73353,1040542,14.01
MI,f,1960-1969,69,0.02699,0.02663,0.5,72439,1929,71474,967188,13.35
MI,f,1960-1969,70,0.02947,0.02904,0.5,70509,2048,69486,895714,12.70
MI,f,1960-1969,71,0.03194,0.03143,0.5,68462,2152,67386,826229,12.07
MI,f,1960-1969,72,0.03706,0.03638,0.5,66310,2413,65103,758843,11.44
MI,f,1960-1969,73,0.03999,0.03921,0.5,63897,2505,62645,693740,10.86
MI,f,1960-1969,74,0.04375,0.04281,0.5,61392,2628,60078,631095,10.28
MI,f,1960-1969,75,0.04970,0.04849,0.5,58763,2850,57339,571018,9.72
MI,f,1960-1969,76,0.05315,0.05178,0.5,55914,2895,54466,513679,9.19
MI,f,1960-1969,77,0.05727,0.05568,0.5,53019,2952,51543,459213,8.66
MI,f,1960-1969,78,0.06558,0.06350,0.5,50067,3179,48477,407670,8.14
MI,f,1960-1969,79,0.07222,0.06971,0.5,46887,3268,45253,359193,7.66
MI,f,1960-1969,80,0.08167,0.07847,0.5,43619,3423,41908,313940,7.20
MI,f,1960-1969,81,0.08771,0.08402,0.5,40197,3377,38508,272032,6.77
MI,f,1960-1969,82,0.09841,0.09380,0.5,36819,3454,35092,233524,6.34
MI,f,1960-1969,83,0.10862,0.10303,0.5,33366,3438,31647,198432,5.95
MI,f,1960-1969,84,0.12246,0.11539,0.5,29928,3453,28201,166785,5.57
MI,f,1960-1969,85,0.13249,0.12426,0.5,26475,3290,24830,138584,5.23
MI,f,1960-1969,86,0.14801,0.13781,0.5,23185,3195,21587,113754,4.91
MI,f,1960-1969,87,0.16117,0.14915,0.5,19990,2982,18499,92166,4.61
MI,f,1960-1969,88,0.16964,0.15637,0.5,17008,2660,15679,73667,4.33
MI,f,1960-1969,89,0.19131,0.17460,0.5,14349,2505,13096,57989,4.04
MI,f,1960-1969,90,0.21304,0.19253,0.5,11843,2280,10703,44893,3.79
MI,f,1960-1969,91,0.22703,0.20388,0.5,9563,1950,8588,34190,3.58
MI,f,1960-1969,92,0.25063,0.22272,0.5,7613,1696,6766,25601,3.36
MI,f,1960-1969,93,0.25667,0.22747,0.5,5918,1346,5245,18836,3.18
MI,f,1960-1969,94,0.28633,0.25047,0.5,4572,1145,3999,13591,2.97
MI,f,1960-1969,95,0.30885,0.26753,0.5,3427,917,2968,9592,2.80
MI,f,1960-1969,96,0.33231,0.28496,0.5,2510,715,2152,6624,2.64
MI,f,1960-1969,97,0.35663,0.30266,0.5,1795,543,1523,4471,2.49
MI,f,1960-1969,98,0.38171,0.32054,0.5,1251,401,1051,2948,2.36
MI,f,1960-1969,99,0.40745,0.33849,0.5,850,288,706,1897,2.23
MI,f,1960-1969,100,0.43370,0.35641,0.5,563,200,462,1191,2.12
MI,f,1960-1969,101,0.46033,0.37420,0.5,362,135,294,729,2.01
MI,f,1960-1969,102,0.48718,0.39175,0.5,227,89,182,434,1.92
MI,f,1960-1969,103,0.51411,0.40898,0.5,138,56,110,252,1.83
MI,f,1960-1969,104,0.54096,0.42579,0.5,81,35,64,143,1.75
MI,f,1960-1969,105,0.56757,0.44211,0.5,47,21,36,79,1.68
MI,f,1960-1969,106,0.59380,0.45786,0.5,26,12,20,42,1.62
MI,f,1960-1969,107,0.61951,0.47300,0.5,14,7,11,22,1.56
MI,f,1960-1969,108,0.64456,0.48746,0.5,7,4,6,11,1.51
MI,f,1960-1969,109,0.66884,0.50122,0.5,4,2,3,6,1.47
MI,f,1960-1969,110+,0.69226,1.00000,1.44,2,2,3,3,1.44
MI,f,1970-1979,0,0.01487,0.01467,0.09,100000,1467,98672,7578307,75.78
MI,f,1970-1979,1,0.00102,0.00102,0.5,98533,100,98483,7479636,75.91
MI,f,1970-1979,2,0.00063,0.00063,0.5,98433,62,98402,7381153,74.99
MI,f,1970-1979,3,0.00053,0.00053,0.5,98371,52,98345,7282751,74.03
MI,f,1970-1979,4,0.00043,0.00043,0.5,98319,42,98297,7184406,73.07
