IA: Iowa, Lifetables (period 5x10), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.01731	0.01705	0.1	100000	1705	98468	7595895	75.96
1960-1969	1-4	0.00073	0.00292	1.66	98295	287	392511	7497427	76.27
1960-1969	5-9	0.00035	0.00176	2.42	98008	173	489597	7104917	72.49
1960-1969	10-14	0.00028	0.00142	2.73	97836	139	488864	6615320	67.62
1960-1969	15-19	0.00059	0.00293	2.85	97697	287	487869	6126456	62.71
1960-1969	20-24	0.00063	0.00317	2.53	97411	309	486289	5638587	57.88
1960-1969	25-29	0.00067	0.00334	2.55	97102	325	484713	5152298	53.06
1960-1969	30-34	0.00091	0.00456	2.66	96777	442	482850	4667585	48.23
1960-1969	35-39	0.00132	0.00659	2.63	96336	635	480175	4184734	43.44
1960-1969	40-44	0.00210	0.01047	2.71	95700	1002	476210	3704559	38.71
1960-1969	45-49	0.00318	0.01580	2.63	94699	1496	469945	3228349	34.09
1960-1969	50-54	0.00476	0.02355	2.6	93202	2195	460744	2758403	29.60
1960-1969	55-59	0.00719	0.03539	2.7	91007	3221	447628	2297659	25.25
1960-1969	60-64	0.01100	0.05361	2.68	87786	4706	428008	1850031	21.07
1960-1969	65-69	0.01773	0.08510	2.66	83080	7070	398821	1422023	17.12
1960-1969	70-74	0.02988	0.13964	2.66	76010	10614	355181	1023201	13.46
1960-1969	75-79	0.05157	0.22955	2.61	65396	15011	291099	668020	10.22
1960-1969	80-84	0.08882	0.36520	2.57	50384	18400	207173	376921	7.48
1960-1969	85-89	0.15167	0.54387	2.4	31984	17395	114690	169749	5.31
1960-1969	90-94	0.23727	0.71142	2.19	14589	10379	43744	55059	3.77
1960-1969	95-99	0.35591	0.85051	1.93	4210	3581	10060	11315	2.69
1960-1969	100-104	0.49394	0.93089	1.65	629	586	1186	1254	1.99
1960-1969	105-109	0.63399	0.96842	1.41	43	42	66	68	1.57
1960-1969	110+	0.74047	1.00000	1.35	1	1	2	2	1.35
1970-1979	0	0.01264	0.01249	0.09	100000	1249	98861	7790507	77.91
1970-1979	1-4	0.00058	0.00231	1.69	98751	228	394476	7691646	77.89
1970-1979	5-9	0.00027	0.00135	2.27	98523	133	492249	7297170	74.07
1970-1979	10-14	0.00025	0.00127	2.86	98389	125	491680	6804921	69.16
1970-1979	15-19	0.00056	0.00282	2.64	98265	277	490670	6313241	64.25
