PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
UT,m,1960-1969,0,0.02178,0.02136,0.1,100000,2136,98085,6890758,68.91
UT,m,1960-1969,1,0.00160,0.00160,0.5,97864,156,97786,6792673,69.41
UT,m,1960-1969,2,0.00107,0.00107,0.5,97708,104,97656,6694887,68.52
UT,m,1960-1969,3,0.00095,0.00095,0.5,97604,92,97558,6597231,67.59
UT,m,1960-1969,4,0.00068,0.00068,0.5,97512,67,97478,6499673,66.66
UT,m,1960-1969,5,0.00069,0.00069,0.5,97445,67,97411,6402195,65.70
UT,m,1960-1969,6,0.00073,0.00073,0.5,97378,71,97343,6304783,64.75
UT,m,1960-1969,7,0.00058,0.00058,0.5,97307,57,97279,6207441,63.79
UT,m,1960-1969,8,0.00039,0.00039,0.5,97250,38,97232,6110162,62.83
UT,m,1960-1969,9,0.00050,0.00050,0.5,97213,49,97188,6012930,61.85
UT,m,1960-1969,10,0.00035,0.00035,0.5,97164,34,97147,5915742,60.88
UT,m,1960-1969,11,0.00051,0.00050,0.5,97130,49,97106,5818595,59.91
UT,m,1960-1969,12,0.00047,0.00047,0.5,97081,46,97058,5721489,58.94
UT,m,1960-1969,13,0.00050,0.00050,0.5,97035,49,97011,5624431,57.96
UT,m,1960-1969,14,0.00061,0.00061,0.5,96986,59,96957,5527421,56.99
UT,m,1960-1969,15,0.00105,0.00105,0.5,96927,101,96877,5430464,56.03
UT,m,1960-1969,16,0.00133,0.00133,0.5,96826,129,96761,5333587,55.08
UT,m,1960-1969,17,0.00122,0.00122,0.5,96697,118,96638,5236826,54.16
UT,m,1960-1969,18,0.00168,0.00168,0.5,96579,162,96498,5140188,53.22
UT,m,1960-1969,19,0.00163,0.00163,0.5,96417,157,96338,5043690,52.31
UT,m,1960-1969,20,0.00164,0.00164,0.5,96259,158,96180,4947352,51.40
UT,m,1960-1969,21,0.00154,0.00154,0.5,96101,148,96027,4851172,50.48
UT,m,1960-1969,22,0.00191,0.00190,0.5,95954,183,95862,4755145,49.56
UT,m,1960-1969,23,0.00213,0.00213,0.5,95771,204,95669,4659282,48.65
UT,m,1960-1969,24,0.00163,0.00163,0.5,95567,156,95489,4563613,47.75
UT,m,1960-1969,25,0.00192,0.00192,0.5,95411,183,95320,4468124,46.83
UT,m,1960-1969,26,0.00181,0.00181,0.5,95228,172,95142,4372805,45.92
UT,m,1960-1969,27,0.00182,0.00182,0.5,95056,173,94969,4277663,45.00
UT,m,1960-1969,28,0.00169,0.00169,0.5,94882,161,94802,4182694,44.08
UT,m,1960-1969,29,0.00128,0.00128,0.5,94722,121,94661,4087892,43.16
UT,m,1960-1969,30,0.00176,0.00176,0.5,94601,167,94518,3993231,42.21
UT,m,1960-1969,31,0.00180,0.00180,0.5,94434,170,94349,3898713,41.28
UT,m,1960-1969,32,0.00158,0.00158,0.5,94264,149,94190,3804364,40.36
UT,m,1960-1969,33,0.00231,0.00230,0.5,94115,217,94007,3710174,39.42
UT,m,1960-1969,34,0.00177,0.00177,0.5,93898,166,93815,3616167,38.51
UT,m,1960-1969,35,0.00229,0.00228,0.5,93732,214,93625,3522352,37.58
UT,m,1960-1969,36,0.00245,0.00245,0.5,93518,229,93404,3428727,36.66
UT,m,1960-1969,37,0.00296,0.00295,0.5,93289,276,93151,3335323,35.75
UT,m,1960-1969,38,0.00243,0.00243,0.5,93013,226,92900,3242172,34.86
UT,m,1960-1969,39,0.00288,0.00288,0.5,92787,267,92654,3149272,33.94
UT,m,1960-1969,40,0.00314,0.00314,0.5,92521,290,92375,3056618,33.04
UT,m,1960-1969,41,0.00312,0.00312,0.5,92230,288,92087,2964242,32.14
UT,m,1960-1969,42,0.00411,0.00410,0.5,91943,377,91754,2872156,31.24
UT,m,1960-1969,43,0.00393,0.00392,0.5,91566,359,91386,2780402,30.37
UT,m,1960-1969,44,0.00426,0.00425,0.5,91207,388,91013,2689015,29.48
UT,m,1960-1969,45,0.00477,0.00476,0.5,90819,433,90603,2598002,28.61
UT,m,1960-1969,46,0.00505,0.00504,0.5,90387,455,90159,2507399,27.74
UT,m,1960-1969,47,0.00689,0.00687,0.5,89932,618,89623,2417239,26.88
UT,m,1960-1969,48,0.00618,0.00616,0.5,89314,550,89039,2327617,26.06
UT,m,1960-1969,49,0.00785,0.00782,0.5,88764,694,88417,2238578,25.22
UT,m,1960-1969,50,0.00831,0.00828,0.5,88070,729,87706,2150161,24.41
UT,m,1960-1969,51,0.00906,0.00902,0.5,87341,788,86947,2062455,23.61
UT,m,1960-1969,52,0.00986,0.00981,0.5,86553,849,86128,1975508,22.82
UT,m,1960-1969,53,0.01092,0.01086,0.5,85704,931,85238,1889380,22.05
UT,m,1960-1969,54,0.01146,0.01140,0.5,84773,966,84290,1804141,21.28
UT,m,1960-1969,55,0.01244,0.01236,0.5,83807,1036,83289,1719851,20.52
UT,m,1960-1969,56,0.01446,0.01435,0.5,82770,1188,82176,1636563,19.77
UT,m,1960-1969,57,0.01505,0.01494,0.5,81582,1219,80973,1554386,19.05
UT,m,1960-1969,58,0.01657,0.01643,0.5,80364,1321,79704,1473413,18.33
UT,m,1960-1969,59,0.01785,0.01769,0.5,79043,1398,78344,1393710,17.63
UT,m,1960-1969,60,0.02047,0.02026,0.5,77645,1573,76858,1315365,16.94
UT,m,1960-1969,61,0.02070,0.02049,0.5,76072,1558,75293,1238507,16.28
UT,m,1960-1969,62,0.02185,0.02162,0.5,74513,1611,73708,1163215,15.61
UT,m,1960-1969,63,0.02595,0.02562,0.5,72903,1868,71969,1089507,14.94
UT,m,1960-1969,64,0.02647,0.02612,0.5,71035,1856,70107,1017538,14.32
UT,m,1960-1969,65,0.03165,0.03116,0.5,69179,2155,68102,947430,13.70
UT,m,1960-1969,66,0.03127,0.03079,0.5,67024,2064,65992,879329,13.12
UT,m,1960-1969,67,0.03520,0.03459,0.5,64960,2247,63837,813336,12.52
UT,m,1960-1969,68,0.03809,0.03738,0.5,62714,2344,61541,749500,11.95
UT,m,1960-1969,69,0.03906,0.03832,0.5,60369,2313,59213,687958,11.40
UT,m,1960-1969,70,0.04487,0.04388,0.5,58056,2548,56782,628745,10.83
UT,m,1960-1969,71,0.04835,0.04721,0.5,55509,2620,54198,571963,10.30
UT,m,1960-1969,72,0.05253,0.05119,0.5,52888,2707,51535,517764,9.79
UT,m,1960-1969,73,0.05768,0.05606,0.5,50181,2813,48774,466230,9.29
UT,m,1960-1969,74,0.06210,0.06023,0.5,47368,2853,45941,417455,8.81
UT,m,1960-1969,75,0.06891,0.06662,0.5,44515,2965,43032,371514,8.35
UT,m,1960-1969,76,0.07428,0.07162,0.5,41550,2976,40062,328482,7.91
UT,m,1960-1969,77,0.07870,0.07572,0.5,38574,2921,37113,288420,7.48
UT,m,1960-1969,78,0.08274,0.07945,0.5,35653,2833,34237,251307,7.05
UT,m,1960-1969,79,0.08961,0.08576,0.5,32820,2815,31413,217070,6.61
UT,m,1960-1969,80,0.10288,0.09785,0.5,30006,2936,28538,185657,6.19
UT,m,1960-1969,81,0.11344,0.10735,0.5,27070,2906,25617,157120,5.80
UT,m,1960-1969,82,0.12493,0.11758,0.5,24164,2841,22743,131503,5.44
UT,m,1960-1969,83,0.13740,0.12857,0.5,21322,2741,19952,108760,5.10
UT,m,1960-1969,84,0.15090,0.14031,0.5,18581,2607,17277,88808,4.78
UT,m,1960-1969,85,0.16548,0.15283,0.5,15974,2441,14753,71531,4.48
UT,m,1960-1969,86,0.18116,0.16611,0.5,13533,2248,12409,56778,4.20
UT,m,1960-1969,87,0.19797,0.18014,0.5,11285,2033,10268,44369,3.93
UT,m,1960-1969,88,0.21594,0.19489,0.5,9252,1803,8350,34101,3.69
UT,m,1960-1969,89,0.23505,0.21033,0.5,7449,1567,6665,25751,3.46
UT,m,1960-1969,90,0.25531,0.22641,0.5,5882,1332,5216,19086,3.24
UT,m,1960-1969,91,0.27668,0.24306,0.5,4550,1106,3997,13869,3.05
UT,m,1960-1969,92,0.29913,0.26021,0.5,3444,896,2996,9872,2.87
UT,m,1960-1969,93,0.32258,0.27778,0.5,2548,708,2194,6876,2.70
UT,m,1960-1969,94,0.34696,0.29567,0.5,1840,544,1568,4682,2.54
UT,m,1960-1969,95,0.37217,0.31378,0.5,1296,407,1093,3114,2.40
UT,m,1960-1969,96,0.39809,0.33201,0.5,889,295,742,2021,2.27
UT,m,1960-1969,97,0.42460,0.35025,0.5,594,208,490,1279,2.15
UT,m,1960-1969,98,0.45155,0.36838,0.5,386,142,315,789,2.04
UT,m,1960-1969,99,0.47879,0.38631,0.5,244,94,197,474,1.94
UT,m,1960-1969,100,0.50616,0.40393,0.5,150,60,119,277,1.85
UT,m,1960-1969,101,0.53348,0.42115,0.5,89,38,70,158,1.77
UT,m,1960-1969,102,0.56061,0.43787,0.5,52,23,40,88,1.70
UT,m,1960-1969,103,0.58738,0.45404,0.5,29,13,22,47,1.63
UT,m,1960-1969,104,0.61365,0.46957,0.5,16,7,12,25,1.57
UT,m,1960-1969,105,0.63927,0.48443,0.5,8,4,6,13,1.51
UT,m,1960-1969,106,0.66412,0.49856,0.5,4,2,3,6,1.46
UT,m,1960-1969,107,0.68809,0.51195,0.5,2,1,2,3,1.42
UT,m,1960-1969,108,0.71110,0.52458,0.5,1,1,1,1,1.38
UT,m,1960-1969,109,0.73306,0.53644,0.5,1,0,0,1,1.35
UT,m,1960-1969,110+,0.75394,1.00000,1.33,0,0,0,0,1.33
UT,m,1970-1979,0,0.01439,0.01420,0.08,100000,1420,98698,7079773,70.80
UT,m,1970-1979,1,0.00132,0.00132,0.5,98580,130,98514,6981075,70.82
UT,m,1970-1979,2,0.00098,0.00098,0.5,98449,96,98401,6882560,69.91
UT,m,1970-1979,3,0.00071,0.00071,0.5,98353,69,98318,6784159,68.98
UT,m,1970-1979,4,0.00044,0.00044,0.5,98284,43,98262,6685841,68.03
UT,m,1970-1979,5,0.00042,0.00041,0.5,98240,41,98220,6587579,67.06
UT,m,1970-1979,6,0.00048,0.00048,0.5,98199,47,98176,6489359,66.08
UT,m,1970-1979,7,0.00046,0.00046,0.5,98152,45,98130,6391183,65.11
UT,m,1970-1979,8,0.00040,0.00040,0.5,98107,39,98088,6293053,64.14
UT,m,1970-1979,9,0.00037,0.00037,0.5,98068,36,98050,6194966,63.17
UT,m,1970-1979,10,0.00039,0.00039,0.5,98032,39,98013,6096915,62.19
UT,m,1970-1979,11,0.00042,0.00042,0.5,97993,41,97973,5998903,61.22
UT,m,1970-1979,12,0.00041,0.00041,0.5,97952,40,97932,5900930,60.24
UT,m,1970-1979,13,0.00055,0.00055,0.5,97912,54,97885,5802998,59.27
UT,m,1970-1979,14,0.00061,0.00061,0.5,97858,60,97828,5705113,58.30
UT,m,1970-1979,15,0.00080,0.00080,0.5,97798,78,97759,5607285,57.34
UT,m,1970-1979,16,0.00129,0.00129,0.5,97720,126,97657,5509526,56.38
UT,m,1970-1979,17,0.00164,0.00163,0.5,97595,159,97515,5411869,55.45
UT,m,1970-1979,18,0.00166,0.00166,0.5,97435,162,97354,5314354,54.54
UT,m,1970-1979,19,0.00180,0.00180,0.5,97273,175,97186,5217000,53.63
UT,m,1970-1979,20,0.00164,0.00164,0.5,97098,159,97019,5119814,52.73
UT,m,1970-1979,21,0.00174,0.00174,0.5,96939,169,96855,5022795,51.81
UT,m,1970-1979,22,0.00175,0.00175,0.5,96770,170,96686,4925941,50.90
UT,m,1970-1979,23,0.00173,0.00173,0.5,96601,167,96517,4829255,49.99
UT,m,1970-1979,24,0.00182,0.00181,0.5,96434,175,96346,4732738,49.08
UT,m,1970-1979,25,0.00153,0.00153,0.5,96259,147,96185,4636392,48.17
UT,m,1970-1979,26,0.00164,0.00164,0.5,96111,158,96032,4540207,47.24
UT,m,1970-1979,27,0.00154,0.00154,0.5,95954,147,95880,4444175,46.32
UT,m,1970-1979,28,0.00152,0.00152,0.5,95806,146,95733,4348295,45.39
UT,m,1970-1979,29,0.00161,0.00161,0.5,95661,154,95584,4252561,44.45
UT,m,1970-1979,30,0.00177,0.00177,0.5,95506,169,95422,4156978,43.53
UT,m,1970-1979,31,0.00155,0.00155,0.5,95338,148,95264,4061556,42.60
UT,m,1970-1979,32,0.00126,0.00126,0.5,95190,120,95130,3966291,41.67
UT,m,1970-1979,33,0.00194,0.00194,0.5,95070,185,94978,3871161,40.72
UT,m,1970-1979,34,0.00180,0.00180,0.5,94885,171,94800,3776184,39.80
UT,m,1970-1979,35,0.00208,0.00208,0.5,94715,197,94616,3681384,38.87
UT,m,1970-1979,36,0.00199,0.00199,0.5,94517,188,94423,3586767,37.95
UT,m,1970-1979,37,0.00214,0.00214,0.5,94329,202,94228,3492344,37.02
UT,m,1970-1979,38,0.00238,0.00238,0.5,94127,224,94015,3398116,36.10
UT,m,1970-1979,39,0.00247,0.00247,0.5,93903,232,93788,3304100,35.19
UT,m,1970-1979,40,0.00250,0.00249,0.5,93672,234,93555,3210313,34.27
UT,m,1970-1979,41,0.00329,0.00329,0.5,93438,307,93285,3116757,33.36
UT,m,1970-1979,42,0.00333,0.00332,0.5,93131,309,92977,3023473,32.46
UT,m,1970-1979,43,0.00341,0.00340,0.5,92822,316,92664,2930496,31.57
UT,m,1970-1979,44,0.00388,0.00387,0.5,92506,358,92327,2837832,30.68
UT,m,1970-1979,45,0.00467,0.00466,0.5,92148,430,91933,2745505,29.79
UT,m,1970-1979,46,0.00418,0.00417,0.5,91719,382,91527,2653571,28.93
UT,m,1970-1979,47,0.00471,0.00470,0.5,91336,429,91122,2562044,28.05
UT,m,1970-1979,48,0.00570,0.00568,0.5,90908,516,90649,2470922,27.18
UT,m,1970-1979,49,0.00687,0.00684,0.5,90391,618,90082,2380272,26.33
UT,m,1970-1979,50,0.00665,0.00663,0.5,89773,595,89475,2290190,25.51
UT,m,1970-1979,51,0.00731,0.00729,0.5,89178,650,88853,2200715,24.68
UT,m,1970-1979,52,0.00807,0.00804,0.5,88528,711,88173,2111862,23.86
UT,m,1970-1979,53,0.00919,0.00915,0.5,87817,803,87415,2023689,23.04
UT,m,1970-1979,54,0.00957,0.00953,0.5,87014,829,86599,1936274,22.25
UT,m,1970-1979,55,0.01185,0.01178,0.5,86184,1015,85677,1849675,21.46
UT,m,1970-1979,56,0.01159,0.01152,0.5,85169,981,84679,1763999,20.71
UT,m,1970-1979,57,0.01396,0.01386,0.5,84188,1167,83604,1679320,19.95
UT,m,1970-1979,58,0.01498,0.01487,0.5,83021,1235,82404,1595716,19.22
UT,m,1970-1979,59,0.01575,0.01563,0.5,81786,1278,81147,1513312,18.50
UT,m,1970-1979,60,0.01803,0.01787,0.5,80508,1439,79789,1432165,17.79
UT,m,1970-1979,61,0.01868,0.01851,0.5,79069,1464,78337,1352376,17.10
